Year,Forest_Loss_ha,Forest_Area_LandCover_km2
2017,2394.0839324193857,69943.344
2018,1672.1166105124612,64183.301
2019,2087.0289961076396,60428.195
2020,2232.811563511528,65478.815
2021,2752.51013305627,64436.212
2022,2022.4874957057827,64121.848
2023,2277.245074015369,61480.226
