date,discharge_m3s,Station_ID
1978-07-05,169.0,2548310
1978-07-06,147.0,2548310
1978-07-07,240.0,2548310
1978-07-08,169.0,2548310
1978-07-09,130.0,2548310
1978-07-10,107.0,2548310
1978-07-11,91.0,2548310
1978-07-12,75.0,2548310
1978-07-13,71.0,2548310
1978-07-14,107.0,2548310
1978-07-15,101.0,2548310
1978-07-16,155.0,2548310
1978-07-17,101.0,2548310
1978-07-18,97.0,2548310
1978-07-19,75.0,2548310
1978-07-20,93.0,2548310
1978-07-21,93.0,2548310
1978-07-22,114.0,2548310
1978-07-23,81.0,2548310
1978-07-24,73.0,2548310
1978-07-25,59.0,2548310
1978-07-26,63.0,2548310
1978-07-27,59.0,2548310
1978-07-28,55.0,2548310
1978-07-29,62.0,2548310
1978-07-30,137.0,2548310
1978-07-31,137.0,2548310
1978-08-01,121.0,2548310
1978-08-02,91.0,2548310
1978-08-03,160.0,2548310
1978-08-04,137.0,2548310
1978-08-05,132.0,2548310
1978-08-06,123.0,2548310
1978-08-07,118.0,2548310
1978-08-08,114.0,2548310
1978-08-09,99.0,2548310
1978-08-10,169.0,2548310
1978-08-11,135.0,2548310
1978-08-12,127.0,2548310
1978-08-13,123.0,2548310
1978-08-14,163.0,2548310
1978-08-15,163.0,2548310
1978-08-16,83.0,2548310
1978-08-17,52.0,2548310
1978-08-18,52.0,2548310
1978-08-19,50.0,2548310
1978-08-20,50.0,2548310
1978-08-21,53.0,2548310
1978-08-22,55.0,2548310
1978-08-23,58.0,2548310
1978-08-24,56.0,2548310
1978-08-25,73.0,2548310
1978-08-26,53.0,2548310
1978-08-27,50.0,2548310
1978-08-28,46.0,2548310
1978-08-29,46.0,2548310
1978-08-30,50.0,2548310
1978-08-31,50.0,2548310
1978-09-01,73.0,2548310
1978-09-02,44.0,2548310
1978-09-03,62.0,2548310
1978-09-04,62.0,2548310
1978-09-05,62.0,2548310
1978-09-06,63.0,2548310
1978-09-07,72.0,2548310
1978-09-08,115.0,2548310
1978-09-09,90.0,2548310
1978-09-10,80.0,2548310
1978-09-11,78.0,2548310
1978-09-12,106.0,2548310
1978-09-13,86.0,2548310
1978-09-14,115.0,2548310
1978-09-15,110.0,2548310
1978-09-16,80.0,2548310
1978-09-17,54.0,2548310
1978-09-18,49.0,2548310
1978-09-19,100.0,2548310
1978-09-20,78.0,2548310
1978-09-21,76.0,2548310
1978-09-22,66.0,2548310
1978-09-23,66.0,2548310
1978-09-24,62.0,2548310
1978-09-25,55.0,2548310
1978-09-26,104.0,2548310
1978-09-27,78.0,2548310
1978-09-28,84.0,2548310
1978-09-29,70.0,2548310
1978-09-30,68.0,2548310
1978-10-01,84.0,2548310
1978-10-02,65.0,2548310
1978-10-03,51.0,2548310
1978-10-04,42.0,2548310
1978-10-05,68.0,2548310
1978-10-06,45.0,2548310
1978-10-07,45.0,2548310
1978-10-08,40.0,2548310
1978-10-09,34.0,2548310
1978-10-10,33.0,2548310
1978-10-11,34.0,2548310
1978-10-12,33.0,2548310
1978-10-13,32.0,2548310
1978-10-14,32.0,2548310
1978-10-15,31.0,2548310
1978-10-16,30.0,2548310
1978-10-17,27.0,2548310
1978-10-18,24.0,2548310
1978-10-19,23.0,2548310
1978-10-20,23.0,2548310
1978-10-21,23.0,2548310
1978-10-22,20.0,2548310
1978-10-23,20.0,2548310
1978-10-24,20.0,2548310
1978-10-25,20.0,2548310
1978-10-26,20.0,2548310
1978-10-27,18.0,2548310
1978-10-28,18.0,2548310
1978-10-29,18.0,2548310
1978-10-30,17.0,2548310
1978-10-31,15.0,2548310
1978-11-01,15.0,2548310
1978-11-02,15.0,2548310
1978-11-03,15.0,2548310
1978-11-04,14.0,2548310
1978-11-05,14.0,2548310
1978-11-06,14.0,2548310
