grdc_no,date,original,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2550500,1967-06-01,498.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1967-07-01,877.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1967-08-01,705.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1967-09-01,528.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1967-10-01,264.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1967-11-01,156.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1967-12-01,114.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-01-01,92.7,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-02-01,79.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-03-01,88.4,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
