District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,Persons per Family,Persons per Household
Kanchanpur,Punarbas Municipality,13676,12895,61628,28286,33342,4.506288388417666,4.7792167506785574
Kanchanpur,Shuklaphanta Municipality,12120,11316,54379,24948,29431,4.486716171617162,4.805496641922941
Dadeldhura,Alital Rural Municipality,3743,3421,18125,8773,9352,4.842372428533262,5.298158433206665
Dadeldhura,Ajaymeru Rural Municipality,3479,2987,15243,7167,8076,4.381431445817764,5.1031134917977905
Dadeldhura,Amargadhi Municipality,6385,4752,24792,12515,12277,3.882850430696946,5.217171717171717
Dadeldhura,Bhageshwar Rural Municipality,2812,2362,13112,6290,6822,4.662873399715505,5.551227773073666
Dadeldhura,Ganayapdhura Rural Municipality,3360,2788,13655,6158,7497,4.063988095238095,4.897776183644189
Dadeldhura,Nawadurga Rural Municipality,4335,3634,18745,8194,10551,4.324106113033449,5.158227848101266
Dadeldhura,Parashuram Municipality,7494,6559,35748,16833,18915,4.77021617293835,5.450221070285105
Baitadi,Dasharathchanda Municipality,7339,6095,31786,15053,16733,4.331107780351546,5.215094339622642
Baitadi,Dilasaini Rural Municipality,4925,3930,23233,11347,11886,4.7173604060913705,5.911704834605598
Baitadi,Dogadakedar Rural Municipality,4774,3998,23619,10854,12765,4.947423544197738,5.907703851925963
Baitadi,Melauli Municipality,4626,3890,21000,9735,11265,4.539559014267185,5.3984575835475574
Baitadi,Pancheshwar Rural Municipality,3617,2986,17780,8130,9650,4.915675974564556,5.9544541192230405
Baitadi,Patan Municipality,6276,5195,28360,13415,14945,4.518801784576163,5.459095283926853
Baitadi,Purchaudi Municipality,7236,6417,38666,18701,19965,5.3435599778883365,6.02555711391616
Baitadi,Shivanath Rural Municipality,3435,2919,18247,8489,9758,5.312081513828239,6.251113394998287
Baitadi,Sigas Rural Municipality,4367,3652,23479,11153,12326,5.376459812228074,6.42907995618839
Baitadi,Surnaya Rural Municipality,3877,3206,18230,8549,9681,4.7020892442610265,5.686213349968808
Darchula,Apihimal Rural Municipality,1363,1256,7023,3438,3585,5.152604548789435,5.5915605095541405
Darchula,Byas Rural Municipality,2361,2168,10205,4884,5321,4.322321050402372,4.707103321033211
Darchula,Dunhu Rural Municipality,2293,1906,9912,4580,5332,4.322721325774095,5.2004197271773345
Darchula,Lekam Rural Municipality,3045,2645,13638,6520,7118,4.478817733990148,5.156143667296786
Darchula,Mahakali Municipality,6080,4596,24572,12072,12500,4.041447368421053,5.3463881636205395
Darchula,Malikaarjun Rural Municipality,3241,2993,15754,7631,8123,4.86084541808084,5.263615101904444
Darchula,Marma Rural Municipality,3086,2704,15586,7551,8035,5.050550874918989,5.7640532544378695
Darchula,Naugad Rural Municipality,3156,2920,16434,7988,8446,5.2072243346007605,5.6280821917808215
Darchula,Shailyashikhar Municipality,4561,4012,21932,10685,11247,4.808594606445955,5.466600199401794
