District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,Persons per Family,Persons per Household
Bajura,Gaumul Rural Municipality,1731,1588,8765,4373,4392,5.0635470826112075,5.519521410579345
Bajura,Himali Rural Municipality,2092,1716,10503,5284,5219,5.02055449330784,6.120629370629371
Bajura,Jagannath Rural Municipality,1965,1687,10205,4938,5267,5.193384223918575,6.049199762892709
Bajura,Swami Kartik Khaapar Rural Municipality,2392,2242,13013,6593,6420,5.440217391304348,5.804192685102587
Bajura,Tribeni Municipality,4036,3567,17989,8368,9621,4.457135777998018,5.0431735351836275
Bajhang,Bithadchir Rural Municipality,3273,2728,16854,8301,8553,5.149404216315307,6.178152492668621
Bajhang,Bungal Municipality,6242,5357,33487,15885,17602,5.364786927266902,6.251073361956319
Bajhang,Chabispathivera Rural Municipality,3125,2792,14515,6770,7745,4.6448,5.19878223495702
Bajhang,Durgathali Rural Municipality,2606,2282,11414,5149,6265,4.379892555640829,5.001752848378615
Bajhang,JayaPrithivi Municipality,5034,4088,21973,10560,11413,4.364918553833929,5.375
Bajhang,SaiPaal Rural Municipality,456,454,2681,1330,1351,5.879385964912281,5.905286343612334
Bajhang,Kedarseu Rural Municipality,4389,3768,21697,10000,11697,4.943495101389838,5.758227176220807
Bajhang,Khaptadchhanna Rural Municipality,3100,2453,13751,6238,7513,4.435806451612903,5.605788830004077
Bajhang,Masta Rural Municipality,2608,2519,13584,6518,7066,5.208588957055214,5.392616117506948
Bajhang,Surma Rural Municipality,1835,1593,11248,5609,5639,6.129700272479564,7.060891399874451
Bajhang,Talkot Rural Municipality,2238,2063,11858,5454,6404,5.298480786416444,5.747939893359185
Bajhang,Thalara Rural Municipality,3462,2819,15961,7104,8857,4.610340843443097,5.661936857041504
Achham,Bannigadhi Jayagadh Rural Municipality,3144,2309,13639,5887,7752,4.338104325699746,5.9068860978778694
Achham,Chaurpati Rural Municipality,4822,3960,22407,9985,12422,4.646827042720862,5.658333333333333
Achham,Dhakari Rural Municipality,4373,3501,22553,10813,11740,5.157329064715299,6.441873750357041
Achham,Kamalbazar Municipality,4590,3730,20947,9480,11467,4.563616557734205,5.615817694369973
Achham,Mangalsen Municipality,6231,4587,26843,12101,14742,4.307976247793292,5.851972967080881
Achham,Mellekh Rural Municipality,4752,3628,23096,10670,12426,4.86026936026936,6.366041896361632
Achham,Panchadewal Binayak Municipality,5432,4466,26316,12062,14254,4.844624447717231,5.892521271831616
Achham,Ramaroshan Rural Municipality,4959,3876,22676,10759,11917,4.5726961080863076,5.8503611971104235
Achham,Sanphebagar Municipality,6382,4883,25990,11965,14025,4.072391099968661,5.322547614171616
Achham,Turmakhad Rural Municipality,5277,4428,24440,11668,12772,4.63141936706462,5.519421860885275
Doti,Adharsha Rural Municipality,5449,4204,24911,11141,13770,4.571664525601028,5.925547098001903
Doti,Badikedar Rural Municipality,2984,2762,15078,7555,7523,5.052949061662199,5.459087617668357
Doti,Bogtan Foodsil Rural Municipality,3198,2774,15912,7488,8424,4.975609756097561,5.736121124729633
Doti,Dipayal Silgadi Municipality,8601,6111,36906,17884,19022,4.290896407394489,6.039273441335297
Doti,Jorayal Rural Municipality,4432,4092,20364,10251,10113,4.594765342960288,4.976539589442815
Doti,K I Singh Rural Municipality,4731,3975,20830,9130,11700,4.4028746565208206,5.240251572327044
Doti,Purbichauki Rural Municipality,5305,4095,21263,9089,12174,4.008105560791706,5.192429792429793
Doti,Sayal Rural Municipality,4311,3139,20125,9221,10904,4.668290419856182,6.411277476903472
Doti,Shikhar Municipality,7089,5654,30294,13307,16987,4.273381294964029,5.357976653696498
Kailali,Bardagoriya Rural Municipality,8639,8162,37714,17882,19832,4.365551568468573,4.620681205586866
Kailali,Bhajani Municipality,11143,10701,53795,25802,27993,4.8276945167369645,5.02710027100271
Kailali,Chure Rural Municipality,4272,4015,21437,10809,10628,5.018024344569288,5.339227895392279
Kailali,Dhangadhi Sub-Metropolitian City,46670,39249,204788,102334,102454,4.388000857081637,5.217661596473795
Kailali,Gauriganga Municipality,13693,12984,64327,29730,34597,4.697801796538378,4.954328404189772
Kailali,Ghodaghodi Municipality,18636,17796,85982,40223,45759,4.613758317235458,4.831535176444144
Kailali,Godawari Municipality,21508,19356,99973,47873,52100,4.648177422354473,5.164961768960529
Kailali,Janaki Rural Municipality,11180,10657,49835,23202,26633,4.457513416815742,4.676269118888993
Kailali,Joshipur Rural Municipality,7775,7630,37167,17788,19379,4.78032154340836,4.871166448230668
Kailali,Kailari Rural Municipality,10793,10458,50457,24485,25972,4.674974520522561,4.824727481353987
