CROP,YEAR,YIELD,AREA,PRODUCTION
"JUTE 
",2010,10559.0,14418.0,1365.0
"JUTE 
",2011,10540.0,14424.0,1369.0
"JUTE 
",2012,11300.0,15500.0,1371.0
"JUTE 
",2013,8787.0,12659.4,1441.0
"COTTON 
",1990,1646.0,1232.0,748.0
"COTTON 
",1991,1998.0,2312.0,1157.0
"COTTON 
",1992,1648.0,1579.0,958.0
"COTTON 
",1993,3000.0,2935.0,978.0
"COTTON 
",1994,3439.0,2497.0,726.0
"COTTON 
",1995,3680.0,2650.0,720.0
"COTTON 
",1996,2343.0,1604.0,685.0
"COTTON 
",1997,2062.0,704.0,341.0
"COTTON 
",1998,1264.0,678.0,536.0
"COTTON 
",1999,1229.0,744.0,605.0
"COTTON 
",2000,1136.0,459.0,404.0
"COTTON 
",2001,102.0,150.0,1475.0
"COTTON 
",2002,118.0,61.0,520.0
"COTTON 
",2003,16.0,13.0,806.0
"COTTON 
",2004,20.0,12.0,600.0
"COTTON 
",2005,59.0,57.0,966.0
"COTTON 
",2006,50.0,45.0,900.0
"COTTON 
",2007,75.0,69.0,913.0
"COTTON 
",2008,100.0,59.0,590.0
"COTTON 
",2009,121.0,109.0,901.0
"COTTON 
",2010,135.0,135.0,1000.0
"COTTON 
",2011,135.0,133.0,985.0
"COTTON 
",2012,175.0,150.0,857.0
"COTTON 
",2013,130.0,132.0,1012.0
